id,nombre,descripcion,precio,categoria,u_por_caja,foto1,foto2,foto3
60023,JUGUETE TPR D65292,"9x2,5cm",4400,JUGUETES PET-ONE,48,60023_1.jpg,,
60024,ANILLO TPR D65293,"10x2,5cm",4700,JUGUETES PET-ONE,48,60024_1.jpg,,
60025,JUGUETA ACUATICO GYM D4386,8x28cm,9000,JUGUETES PET-ONE,48,60025_1.jpg,,
60026,JUGUETE ACUATICO BOOMERANG D4387,8x27cm,5800,JUGUETES PET-ONE,48,60026_1.jpg,,
60027,JUGUETE ACUATICO RUGBY D4391,10x20cm,5800,JUGUETES PET-ONE,48,60027_1.jpg,,
60028,JUGUETE ACUATICO OJOTA D4400,10x24cm,9200,JUGUETES PET-ONE,48,60028_1.jpg,,
60029,HUESO MASTICABLE D25328,13x22cm,7800,JUGUETES PET-ONE,48,60029_1.jpg,,
60030,PELOTA CON MANIJA DE SOGA S D6160,25cm,4500,JUGUETES PET-ONE,48,60030_1.jpg,,
60031,PELOTA CON MANIJA DE SOGA L D6163,"38,5cm",3800,JUGUETES PET-ONE,48,60031_1.jpg,,
60032,HUESO STRONG D6165,"24,5cm",8000,JUGUETES PET-ONE,48,60032_1.jpg,,
60033,PELOTA TPR CON MANIJA D6166,38cm,4800,JUGUETES PET-ONE,48,60033_1.jpg,,
60034,HUESO CON PELOTA ENTRELAZADA D45071,"24,5cm",6700,JUGUETES PET-ONE,48,60034_1.jpg,,
60035,HUESO CON PELOTA D45070,"24,5cm",7000,JUGUETES PET-ONE,48,60035_1.jpg,,
60036,PELOTA CON AGARRE V D45073,7x25cm,3700,JUGUETES PET-ONE,48,60036_1.jpg,,
60037,PELOTA CON AGARRE R D45074,"34,5cm",6100,JUGUETES PET-ONE,48,60037_1.jpg,,
60038,OREO CON CHIFLE D0340,10x3cm,2100,JUGUETES PET-ONE,48,60038_1.jpg,,
60039,GALLETITA CON CHIFLE D0355,"12x7,5cm",2100,JUGUETES PET-ONE,48,60039_1.jpg,,
60040,PELOTITA TENIS DALD2004-B,"2,5¨",3300,JUGUETES PET-ONE,48,60040_1.jpg,,
60041,PELOTA RUBBER D65098-S,2¨,4100,JUGUETES PET-ONE,72,60041_1.jpg,,
60042,PELOTA RUBBER D65098-M,"2,5¨",5100,JUGUETES PET-ONE,72,60042_1.jpg,,
60043,PELOTA RUBBER D65098-L,3¨,6500,JUGUETES PET-ONE,72,60043_1.jpg,,
60044,RUEDA RUBBER D65101-S,"8,8cm",3900,JUGUETES PET-ONE,72,60044_1.jpg,,
60045,RUEDA RUBBER D65101-L,"12,6cm",7900,JUGUETES PET-ONE,72,60045_1.jpg,,
60046,HUESO RUBBER D65103,"18,5x9,5x5cm",8600,JUGUETES PET-ONE,72,60046_1.jpg,,
